task1,task2,cohen_dz,p,n_pairs,median_t1_hz,median_t2_hz,p_fdr,sig_fdr05
gambling,cognitive_control,-3.9952141587992807,1.1368683772161603e-13,44,0.35669052863436124,0.45251937984496127,1.1368683772161603e-13,True
gambling,rest,19.79590215899899,1.1368683772161603e-13,44,0.35669052863436124,0.0020325203252032522,1.1368683772161603e-13,True
cognitive_control,rest,16.29444618284746,1.1368683772161603e-13,44,0.45251937984496127,0.0020325203252032522,1.1368683772161603e-13,True
