subject_id,task_label,n_epochs,duration_s,n_events,event_rate_hz,median_epoch_event_count,mean_epoch_event_count
sub-S201105,rest,123,496.0,1,0.0020161290322580645,0.0,0.016260162601626018
sub-S201118,cognitive_control,262,1052.0,467,0.4439163498098859,4.0,3.553435114503817
sub-S201118,gambling,898,3596.0,1282,0.3565072302558398,3.0,2.854120267260579
sub-S201118,rest,122,492.0,1,0.0020325203252032522,0.0,0.01639344262295082
sub-S201120,cognitive_control,259,1040.0,540,0.5192307692307693,4.0,4.1505791505791505
sub-S201120,gambling,907,3632.0,1295,0.35655286343612336,3.0,2.8555678059536933
sub-S201120,rest,122,492.0,1,0.0020325203252032522,0.0,0.01639344262295082
sub-S201126,cognitive_control,330,1324.0,466,0.35196374622356497,4.0,2.8181818181818183
sub-S201126,gambling,947,3792.0,1296,0.34177215189873417,3.0,2.737064413938754
sub-S201126,rest,123,496.0,1,0.0020161290322580645,0.0,0.016260162601626018
sub-S201210,cognitive_control,271,1088.0,467,0.42922794117647056,4.0,3.4354243542435423
sub-S201210,gambling,949,3800.0,1296,0.3410526315789474,3.0,2.731296101159115
sub-S201210,rest,148,596.0,1,0.0016778523489932886,0.0,0.013513513513513514
sub-S201222,cognitive_control,266,1068.0,478,0.44756554307116103,4.0,3.5902255639097747
sub-S201222,gambling,878,3516.0,1294,0.36803185437997726,3.0,2.947608200455581
sub-S201222,rest,123,496.0,1,0.0020161290322580645,0.0,0.016260162601626018
sub-S201223,cognitive_control,257,1032.0,467,0.45251937984496127,4.0,3.6342412451361867
sub-S201223,gambling,952,3812.0,1295,0.33971668415529904,3.0,2.7205882352941178
sub-S201223,rest,121,488.0,1,0.0020491803278688526,0.0,0.01652892561983471
sub-S210118,cognitive_control,268,1076.0,467,0.4340148698884758,4.0,3.485074626865672
sub-S210118,gambling,941,3768.0,1295,0.3436836518046709,3.0,2.751328374070138
sub-S210118,rest,123,496.0,1,0.0020161290322580645,0.0,0.016260162601626018
sub-S210120,cognitive_control,277,1112.0,467,0.4199640287769784,4.0,3.371841155234657
sub-S210120,gambling,952,3812.0,1296,0.33997901364113325,3.0,2.722689075630252
sub-S210120,rest,121,488.0,1,0.0020491803278688526,0.0,0.008264462809917356
sub-S210127,cognitive_control,269,1080.0,466,0.43148148148148147,4.0,3.4646840148698885
sub-S210127,gambling,889,3560.0,1296,0.36404494382022473,3.0,2.9156355455568055
sub-S210127,rest,125,504.0,1,0.001984126984126984,0.0,0.016
sub-S210128,cognitive_control,265,1064.0,467,0.43890977443609025,4.0,3.5245283018867926
sub-S210128,gambling,896,3588.0,1294,0.36064659977703456,3.0,2.888392857142857
sub-S210128,rest,128,516.0,1,0.001937984496124031,0.0,0.015625
sub-S210202,cognitive_control,245,984.0,467,0.47459349593495936,4.0,3.8081632653061224
sub-S210202,gambling,965,3864.0,1296,0.33540372670807456,3.0,2.6860103626943004
sub-S210202,rest,124,500.0,1,0.002,0.0,0.016129032258064516
sub-S210203,cognitive_control,255,1024.0,466,0.455078125,4.0,3.6549019607843136
sub-S210203,gambling,899,3600.0,1296,0.36,3.0,2.883203559510567
sub-S210203,rest,122,492.0,1,0.0020325203252032522,0.0,0.01639344262295082
sub-S210204,cognitive_control,251,1008.0,467,0.4632936507936508,4.0,3.7171314741035855
sub-S210204,gambling,938,3756.0,1296,0.3450479233226837,3.0,2.763326226012793
sub-S210204,rest,122,492.0,1,0.0020325203252032522,0.0,0.01639344262295082
sub-S210208,cognitive_control,249,1000.0,467,0.467,4.0,3.751004016064257
sub-S210208,gambling,856,3428.0,1290,0.3763127187864644,3.0,3.014018691588785
sub-S210208,rest,122,492.0,1,0.0020325203252032522,0.0,0.01639344262295082
sub-S210209,cognitive_control,238,956.0,467,0.4884937238493724,4.0,3.9243697478991595
sub-S210209,gambling,900,3604.0,1294,0.3590455049944506,3.0,2.8755555555555556
sub-S210209,rest,122,492.0,1,0.0020325203252032522,0.0,0.01639344262295082
sub-S210215,cognitive_control,254,1020.0,467,0.45784313725490194,4.0,3.677165354330709
sub-S210215,gambling,875,3504.0,1292,0.3687214611872146,3.0,2.9531428571428573
sub-S210215,rest,121,488.0,1,0.0020491803278688526,0.0,0.01652892561983471
sub-S210217,cognitive_control,259,1040.0,467,0.44903846153846155,4.0,3.6023166023166024
sub-S210217,gambling,907,3632.0,1295,0.35655286343612336,3.0,2.8555678059536933
sub-S210217,rest,120,484.0,1,0.002066115702479339,0.0,0.016666666666666666
sub-S210224,cognitive_control,257,1032.0,467,0.45251937984496127,4.0,3.6264591439688716
sub-S210224,gambling,885,3544.0,1296,0.3656884875846501,3.0,2.928813559322034
sub-S210224,rest,122,492.0,1,0.0020325203252032522,0.0,0.01639344262295082
sub-S210225,cognitive_control,244,980.0,467,0.47653061224489796,5.0,3.819672131147541
sub-S210225,gambling,906,3628.0,1292,0.35611907386990077,3.0,2.8520971302428255
sub-S210225,rest,124,500.0,1,0.002,0.0,0.016129032258064516
sub-S210315,cognitive_control,266,1068.0,464,0.4344569288389513,4.0,3.4849624060150375
sub-S210315,gambling,912,3652.0,1294,0.3543263964950712,3.0,2.837719298245614
sub-S210315,rest,122,492.0,1,0.0020325203252032522,0.0,0.01639344262295082
sub-S210316,cognitive_control,280,1124.0,467,0.41548042704626337,4.0,3.3321428571428573
sub-S210316,gambling,1162,4652.0,1296,0.27858985382631124,3.0,2.2306368330464714
sub-S210316,rest,122,492.0,1,0.0020325203252032522,0.0,0.01639344262295082
sub-S210317,cognitive_control,261,1048.0,467,0.44561068702290074,4.0,3.574712643678161
sub-S210317,gambling,876,3508.0,1296,0.3694412770809578,3.0,2.958904109589041
sub-S210317,rest,121,488.0,1,0.0020491803278688526,0.0,0.01652892561983471
