confound,r_confound_diff_x_frob_diff,p,p_fdr,sig_fdr05
ecg_hrv_hr_mean_bpm,-0.0580690627202255,0.7080963905781088,0.8758960786718133,False
resp_rate_bpm,-0.2878083157152925,0.0581657896052629,0.2326631584210516,False
resp_anchor_index,0.3288231148696264,0.0293035950255987,0.2326631584210516,False
eog_blink_rate,-0.2024960030386309,0.1874223956912949,0.4997930551767864,False
eog_artifact_fraction,,,1.0,False
eda_tonic_scl,-0.1031410450015101,0.5104288477201135,0.8758960786718133,False
emg_rms_corrugator,-0.081183932346723,0.6003644626736571,0.8758960786718133,False
event_rate_hz,-0.046088794926004234,0.7664090688378367,0.8758960786718133,False
