task,physio,geometry,full_r,full_p,loo_mean,loo_min,loo_max,sign_consistent
gambling,resp_anchor_index_median,frobenius_norm_median,-0.21578576462297389,0.15948947857560913,-0.2156757090689438,-0.2700090607067351,-0.16611295681063123,True
cognitive_control,resp_anchor_index_median,frobenius_norm_median,0.02015810276679842,0.8954330400295156,0.020161302952000627,-0.035940803382663845,0.09133192389006342,False
gambling,resp_anchor_index_median,rotation_norm_median,-0.21930937279774487,0.1526211116116185,-0.2192141896158809,-0.27061310782241016,-0.17019027484143762,True
gambling,ecg_hrv_rmssd_ms_median,frobenius_norm_median,0.002818886539816772,0.9855111320446915,0.0028040141676505307,-0.046813651464814254,0.07142857142857142,False
