subject_id,resp_ok_gg,resp_ok_cc,resp_ok_rest,qc_ok_for_eap
sub-S200116,0.6331428571428571,0.6299559471365639,0.1746031746031746,True
sub-S200120,0.8493303571428571,0.8790322580645161,0.6774193548387096,True
sub-S200121,0.8924843423799582,0.8414634146341463,0.9448818897637795,True
sub-S200122,0.6449115044247787,0.9272030651340997,0.1732283464566929,True
sub-S200131,0.910871694417238,0.9887218045112782,0.7380952380952381,True
sub-S200203,,0.8541033434650456,1.0,True
sub-S200205,0.6337719298245614,0.8694029850746269,0.4921875,True
sub-S200207,0.8940914158305463,0.924812030075188,0.2589928057553957,True
sub-S200211,0.839041095890411,0.9625,0.6,True
sub-S200212,0.5655021834061136,0.6889763779527559,0.5725806451612904,True
sub-S200214,0.5378531073446328,0.8381742738589212,0.08661417322834646,True
sub-S200217,0.3566666666666667,0.9421487603305785,0.8306451612903226,True
sub-S200221,0.841711229946524,0.7706766917293233,0.9285714285714286,True
sub-S200225,0.2391304347826087,0.39622641509433965,0.2,False
sub-S200228,0.9475982532751092,0.977859778597786,0.24390243902439024,True
sub-S200302,0.6424642464246425,0.8327137546468402,0.448,True
sub-S200303,0.9159090909090909,0.38461538461538464,0.8467741935483871,True
sub-S200306,0.9515570934256056,0.9878542510121457,0.6986301369863014,True
sub-S200309,0.5727482678983834,0.976,0.7258064516129032,True
sub-S200310,0.38542766631467795,0.5287356321839081,0.12096774193548387,True
sub-S200311,0.7528216704288939,0.7984790874524715,0.7603305785123967,True
sub-S200313,0.37360178970917224,0.7398373983739838,0.3770491803278688,True
sub-S201105,0.9153269024651661,0.9962546816479401,0.704,True
sub-S201118,0.8455555555555555,0.9242424242424242,0.6370967741935484,True
sub-S201120,0.7315731573157316,0.9042145593869731,0.7741935483870968,True
sub-S201126,0.7586933614330874,0.8674698795180723,0.44,True
sub-S201210,0.7634069400630915,0.9157509157509157,0.5533333333333333,True
sub-S201222,0.5886363636363636,0.8768656716417911,0.824,True
sub-S201223,0.9517819706498952,0.9575289575289575,0.1951219512195122,True
sub-S210118,0.7423117709437964,0.8703703703703703,0.616,True
sub-S210120,0.9737945492662474,0.992831541218638,0.8130081300813008,True
sub-S210127,0.6812570145903479,0.8819188191881919,0.7952755905511811,True
sub-S210128,0.9721603563474388,0.9363295880149812,0.8692307692307693,True
sub-S210202,0.6173733195449845,0.7206477732793523,0.29365079365079366,True
sub-S210203,0.34961154273029965,0.7626459143968871,0.024193548387096774,True
sub-S210204,0.7691489361702127,0.924901185770751,0.7419354838709677,True
sub-S210208,0.8298368298368298,0.9442231075697212,0.5806451612903226,True
sub-S210209,0.9745011086474501,0.9791666666666666,0.9516129032258065,True
sub-S210215,0.9555302166476625,1.0,0.9186991869918699,True
sub-S210217,0.8767876787678768,0.9080459770114943,0.7459016393442623,True
sub-S210224,0.7192784667418264,0.915057915057915,0.6129032258064516,True
sub-S210225,0.8733480176211453,0.9796747967479674,0.1746031746031746,True
sub-S210315,0.936542669584245,0.9701492537313433,0.6612903225806451,True
sub-S210316,0.45962199312714774,0.44680851063829785,0.3709677419354839,True
sub-S210317,0.8189066059225513,0.8821292775665399,0.7886178861788617,True
