mnj_metric,cohen_d,ci_lo,ci_hi,se,ci_excludes_zero,n
frobenius_norm,1.6204389039808829,1.3061036144303422,2.1279281954032143,0.2136210167140727,True,44
spectral_radius,1.8081617619666461,1.4509226528448171,2.440696910924068,0.25291021308482603,True,44
rotational_power,-1.025436699944962,-1.4150812899975087,-0.7433684228495788,0.16941270865005345,True,44
aci,-1.0154020296267017,-1.384289301881085,-0.7453824410822324,0.1636749923244984,True,44
