confound,r_confound_diff_x_frob_diff,p,p_fdr
ecg_hrv_hr_mean_bpm,-0.0580690627202255,0.7080963905781088,0.885120488222636
resp_rate_bpm,-0.2878083157152925,0.058165789605262905,0.14541447401315727
resp_anchor_index,0.32882311486962645,0.02930359502559875,0.14541447401315727
eog_blink_rate,-0.2024960030386309,0.18742239569129499,0.31237065948549164
eog_artifact_fraction,,,1.0
