mnj_metric,full_d,full_p,loo_mean_d,loo_min_d,loo_max_d,sign_consistent,loo_frac_p05,n
frobenius_norm,1.6204389039808829,7.958078640513122e-13,1.6215048690112452,1.5948105750267394,1.7109202970585822,True,1.0,44
spectral_radius,1.8081617619666461,5.684341886080801e-13,1.809628087556925,1.7811730746972119,1.9425570379826973,True,1.0,44
rotational_power,-1.025436699944962,4.1240582504542544e-08,-1.026082370848985,-1.111627184283193,-1.0025976988859229,True,1.0,44
aci,-1.0154020296267017,3.362197276146617e-08,-1.0160675154774865,-1.0958713573705419,-0.9925838469974051,True,1.0,44
