mnps_axis,friedman_chi2,p,n_subjects,p_fdr
m_median,1.409090909090878,0.49433322011463854,44,0.5665546020894687
d_median,1.136363636363626,0.5665546020894687,44,0.5665546020894687
e_median,2.909090909090878,0.23350647909091693,44,0.5665546020894687
