metric,friedman_chi2,p,n_subjects,p_fdr
block_frobenius_mean,47.77272727272725,4.229451800084585e-11,44,1.691780720033834e-10
block_trace_mean,11.090909090909122,0.003905167724273166,44,0.005206890299030888
block_anisotropy_mean,7.772727272727252,0.02051982809064324,44,0.02051982809064324
c_rot_mean,34.40909090909088,3.374122496248965e-08,44,6.74824499249793e-08
