task1,task2,wilcoxon_stat,p,cohen_dz,n_pairs,p_fdr,sig_fdr05
gambling,cognitive_control,437.0,0.5059169405730017,0.07939436277004532,44,0.5059169405730017,False
gambling,rest,197.0,0.0003202683641347903,0.5365048768162807,44,0.0004804025462021855,True
cognitive_control,rest,109.0,1.1377991313565872e-06,0.5667863886806486,44,3.4133973940697615e-06,True
