subject_id,session_id,condition_label,task_label,network_label,source_block,target_block,n_timepoints,block_trace_mean,block_frobenius_mean,block_anisotropy_mean,c_sym_mean,c_rot_mean
sub-S200116,ses-01,,cognitive_control,frontal,m,m,227,0.02591024525463581,0.8827186226844788,57.917082412507796,,
sub-S200116,ses-01,,cognitive_control,frontal,m,d,227,,0.8627627491950989,,0.6543320023351246,0.6564499754375882
sub-S200116,ses-01,,cognitive_control,frontal,m,e,227,,0.7004193067550659,,0.5479657036728329,0.560699446466234
sub-S200116,ses-01,,cognitive_control,frontal,d,m,227,,0.9225964546203613,,0.6543320023351246,0.6564499754375882
sub-S200116,ses-01,,cognitive_control,frontal,d,d,227,-0.05887531116604805,0.8303937315940857,53.685086246066625,,
sub-S200116,ses-01,,cognitive_control,frontal,d,e,227,,0.7703797221183777,,0.5483166876766417,0.5696216109726164
sub-S200116,ses-01,,cognitive_control,frontal,e,m,227,,0.8252223134040833,,0.5479657036728329,0.560699446466234
sub-S200116,ses-01,,cognitive_control,frontal,e,d,227,,0.768787682056427,,0.5483166876766417,0.5696216109726164
sub-S200116,ses-01,,cognitive_control,frontal,e,e,227,-0.07828877121210098,0.6131701469421387,49.148451823128596,,
sub-S200116,ses-01,,cognitive_control,central,m,m,227,0.0995660051703453,0.8823950290679932,112.18082516034444,,
sub-S200116,ses-01,,cognitive_control,central,m,d,227,,0.8127127885818481,,0.6776345872879028,0.6918239920669131
sub-S200116,ses-01,,cognitive_control,central,m,e,227,,0.8063749074935913,,0.6207447246710459,0.6102539698282877
sub-S200116,ses-01,,cognitive_control,central,d,m,227,,1.0496342182159424,,0.6776345872879028,0.6918239920669131
sub-S200116,ses-01,,cognitive_control,central,d,d,227,0.0571325346827507,1.0202394723892212,105.95764366255867,,
sub-S200116,ses-01,,cognitive_control,central,d,e,227,,0.8574466705322266,,0.5978681868977017,0.6055463325315051
sub-S200116,ses-01,,cognitive_control,central,e,m,227,,0.8766186237335205,,0.6207447246710459,0.6102539698282877
sub-S200116,ses-01,,cognitive_control,central,e,d,227,,0.7868793606758118,,0.5978681868977017,0.6055463325315051
