task,physio,geometry,full_spearman_r,full_p,loo_mean_r,loo_min_r,loo_max_r,loo_sign_consistent,n
gambling,resp_anchor_index,block_frobenius_mean,-0.1441860465116279,0.35041733075903914,-0.14411328629087614,-0.2032618544246451,-0.09030504379341588,True,44
cognitive_control,resp_anchor_index,block_frobenius_mean,-0.14176548089591567,0.35292329864492167,-0.14169603006812306,-0.1967582804792107,-0.08682170542635659,True,45
gambling,resp_anchor_index,c_rot_mean,-0.15644820295983086,0.3105128020366769,-0.1563726970703715,-0.21322863183328303,-0.10329205678042887,True,44
gambling,ecg_hrv_rmssd_ms,block_frobenius_mean,0.1733615221987315,0.260422902912045,0.1732757200516186,0.14300815463606162,0.24584717607973422,True,44
