task,physio,geometry,spearman_r,p,ci_lo,ci_hi,se
gambling,resp_anchor_index,block_frobenius_mean,-0.1441860465116279,0.35041733075903914,-0.43127179701159973,0.1619777623284916,0.15198933510654475
cognitive_control,resp_anchor_index,block_frobenius_mean,-0.14176548089591567,0.35292329864492167,-0.42760351840506633,0.1607227100102624,0.1484012643421695
gambling,resp_anchor_index,c_rot_mean,-0.15644820295983086,0.3105128020366769,-0.4534544396270905,0.16433865741673898,0.1576856546603116
gambling,ecg_hrv_rmssd_ms,block_frobenius_mean,0.1733615221987315,0.260422902912045,-0.13773201898683404,0.4470225022556118,0.15068327733778802
