subject_id,task_label,r_resp_frobenius,p_resp_frobenius,r_resp_rotation,p_resp_rotation,n_epochs_resp_ok
sub-S200116,cognitive_control,0.02072335815218644,0.8066183288850899,0.04460058970097928,0.5981642890769794,142
sub-S200116,gambling,0.024393461837062255,0.5673880185555347,0.027449894544495142,0.5198440480019777,552
sub-S200116,rest,-0.0974025974025974,0.6744677255097002,-0.4194805194805195,0.05836062913446328,21
sub-S200120,cognitive_control,0.02550756736803248,0.7093207107851294,-0.002405363245573298,0.9719630032539195,216
sub-S200120,gambling,0.024093381848041526,0.507475442370857,0.046397019957153514,0.20166696133866188,759
sub-S200120,rest,0.043741361108390206,0.6963879940904746,0.0324876742743331,0.772008624453666,82
sub-S200121,cognitive_control,0.1384861620720633,0.04659064836103792,0.09234124535939647,0.1857212466807473,207
sub-S200121,gambling,-0.015983626858686373,0.6410969318364843,0.03622180878015,0.29065056308842,853
sub-S200121,rest,0.04484349150351145,0.629676561777275,-0.023690832265109436,0.7989976677331053,118
sub-S200122,cognitive_control,-0.16033264466396982,0.012882359511143644,-0.11369381412871749,0.07877380804220445,240
sub-S200122,gambling,0.04694737186189086,0.25814822109582275,0.06746390802982859,0.10397122024735136,582
sub-S200122,rest,-0.045454545454545456,0.8448883449705005,-0.17922077922077922,0.43696527489850645,21
sub-S200131,cognitive_control,0.009374261782790343,0.8801948391047049,-0.016837764323944897,0.7865941375141956,261
sub-S200131,gambling,0.00794993530751424,0.8088909532135462,0.010443052533950193,0.7507067765577495,928
sub-S200131,rest,-0.039640070074852686,0.709102697510102,-0.002070393374741201,0.9844603569537178,91
sub-S200203,cognitive_control,0.009451651169020013,0.8748883338366623,0.02781485915454461,0.6430495878464775,280
sub-S200203,rest,-0.06557296466973886,0.46750457010990865,-0.07201228878648233,0.4248297373348209,125
sub-S200205,cognitive_control,-0.07005365755550749,0.28692997823621674,-0.0007200510012408785,0.9912777063879419,233
sub-S200205,gambling,-0.023470404830297907,0.5736845429855755,-0.0389445767092646,0.35040372323160174,577
sub-S200205,rest,-0.16768905341089368,0.19643760310320615,-0.18831306187202537,0.14611729252317804,61
sub-S200207,cognitive_control,-0.06194991391198623,0.3342251458369294,-0.04017984642877544,0.531347337034836,245
sub-S200207,gambling,-0.04236632400988127,0.23132044845992328,-0.03318977842152879,0.3484812981847252,800
sub-S200207,rest,0.3798319327731093,0.024410764091426927,0.23389355742296922,0.17627151193382073,35
sub-S200211,cognitive_control,-0.041717546191280375,0.5299253995006925,-0.03359447603249629,0.6130409519080211,229
sub-S200211,gambling,0.06351531971603817,0.08572138627082238,0.05751431579584989,0.11976244208685581,733
sub-S200211,rest,0.03600518326545724,0.7623342827168406,-0.1100209798839936,0.3541279233438206,73
sub-S200212,cognitive_control,0.21807250696469216,0.003948164300443304,0.14363257946238606,0.059391614093733974,173
sub-S200212,gambling,0.03082264165886135,0.4843622254670965,0.07521367862783004,0.08755060584147789,517
sub-S200212,rest,0.022517714985565564,0.8532071280773281,-0.03819438369346514,0.7535834225421024,70
sub-S200214,cognitive_control,-0.09992349808745221,0.15919031301187758,-0.09056176404410113,0.20219200845620297,200
sub-S200214,gambling,0.0004933405740710675,0.9914438256256758,-0.0613243831843197,0.1821158695318633,475
sub-S200214,rest,0.11515151515151514,0.7514196523258484,0.11515151515151514,0.7514196523258484,10
sub-S200217,cognitive_control,-0.02847739597717541,0.6695445587427236,0.08892646023854617,0.1818560196493052,227
sub-S200217,gambling,-0.09810600510131853,0.15362923221646488,-0.07856378262521699,0.2536124214188854,213
sub-S200217,rest,0.12627839254513684,0.2082726053307784,0.08323820617355854,0.4079205749307272,101
sub-S200221,cognitive_control,0.04332572389763306,0.5383555362594964,-0.022979553469832,0.7442428136960644,204
sub-S200221,gambling,-0.011505916541771403,0.7473969306888975,-0.039395797501691095,0.26995816135856354,786
sub-S200221,rest,-0.09614140298271917,0.3067294848042408,-0.06686656671664168,0.4776881214585619,115
sub-S200225,cognitive_control,0.2006294676197589,0.041140457456764805,0.211565133895231,0.03108833323374093,104
sub-S200225,gambling,-0.0119415424142973,0.8570566681197339,-0.03737212094910974,0.5728322093865699,230
sub-S200225,rest,-0.01769230769230769,0.9331049901273374,-0.03307692307692307,0.875276314151181,25
sub-S200228,cognitive_control,-0.009456888567561075,0.8786838722774422,-0.02097455558692606,0.7349358313347034,263
sub-S200228,gambling,-0.07377760910458322,0.029935577192164026,-0.11754265533068242,0.0005281522223806532,866
sub-S200228,rest,-0.2881773399014778,0.12952210702716938,-0.25172413793103443,0.18774551335516085,29
sub-S200302,cognitive_control,-0.11290171327100898,0.09333329376408454,-0.14114455343682464,0.0355824450822136,222
sub-S200302,gambling,-0.0419610543673609,0.31139081121035805,-0.025470884762691427,0.5390087632468066,584
sub-S200302,rest,0.13512483323804075,0.3299552478409832,0.014522584333905087,0.9169891213529665,54
sub-S200303,cognitive_control,0.08204081632653061,0.419498954624844,-0.0063698206555349406,0.9501052441946665,99
sub-S200303,gambling,-0.011080585562553329,0.7537415863995858,0.06572647925798789,0.062492899894585015,804
sub-S200303,rest,-0.18347380774565242,0.062277067893316176,-0.1487143924037128,0.13189869417729697,104
sub-S200306,cognitive_control,-0.10251684877612202,0.11167157872728689,-0.027627378186915467,0.6689150242465296,242
sub-S200306,gambling,-0.026874366085315758,0.4413364040209907,-0.01781333091313077,0.6098467674740233,823
sub-S200306,rest,0.10612696563774024,0.29084333357203623,0.15635410599883517,0.11842940344170426,101
sub-S200309,cognitive_control,0.005967942381255844,0.9262593613742298,-0.04331859746663522,0.5015176033858466,243
sub-S200309,gambling,0.025410794638298883,0.5727430760748783,0.04324830517530008,0.33693911242462193,495
sub-S200309,rest,0.2564368990172942,0.015879619849847936,0.1733824099186362,0.10620762036656305,88
sub-S200310,cognitive_control,-0.23078574495491624,0.006868554913869787,-0.18447593149181812,0.03155750487242815,136
sub-S200310,gambling,0.0017675972844092393,0.973190029437546,-0.05523865922371526,0.2932290678482166,364
sub-S200310,rest,0.027472527472527472,0.929011729160351,0.054945054945054944,0.8585042942308735,13
sub-S200311,cognitive_control,-0.019792183407744048,0.7765984951174478,0.013067215012295104,0.8514016294974683,208
sub-S200311,gambling,0.004167492975356006,0.9145764521910489,0.0182705216313333,0.6381366563140076,665
sub-S200311,rest,0.049841544223566694,0.6408440676944689,0.09402806930896819,0.3780393734246271,90
sub-S200313,cognitive_control,-0.04214073219598081,0.5732524024891134,-0.11874405520814359,0.11136043240449522,181
sub-S200313,gambling,-0.01624071947280951,0.7677873364144263,-0.03378362129534484,0.5389837632188355,333
sub-S200313,rest,-0.042142353770260745,0.7859189322367379,0.07526427061310781,0.6272763950758179,44
sub-S201105,cognitive_control,-0.19705274279490506,0.0012902183290665285,-0.11296297504059896,0.06686332232560088,264
sub-S201105,gambling,-0.04094690182192309,0.23249879461708436,-0.018066395515964735,0.5984647938058625,852
sub-S201105,rest,0.2550403320911363,0.017794282576653688,0.22713335534695034,0.03545728420501953,86
sub-S201118,cognitive_control,-0.07614474092532687,0.23795440074520072,-0.0897693985836825,0.1639024861368109,242
sub-S201118,gambling,-0.085747477979837,0.018137520573608644,-0.06850931441779332,0.05922294507253529,759
sub-S201118,rest,-0.07611375965806345,0.5077615086758704,-0.03767118956992375,0.7433293123087521,78
sub-S201120,cognitive_control,-0.08030316866039633,0.22102712426940288,-0.11184600867734833,0.08780101111575728,234
sub-S201120,gambling,0.06351908982459618,0.1022370946113674,0.04922998853831478,0.20551731984786437,663
sub-S201120,rest,0.2735862262038074,0.00730359996568315,0.361968085106383,0.00031293165460571064,95
sub-S201126,cognitive_control,0.0071483394654126365,0.9040287890046371,0.02981723560991854,0.614933770779134,287
sub-S201126,gambling,0.009141189186964736,0.8065626814238018,-0.03357629290694362,0.368314655812671,720
sub-S201126,rest,-0.14137602439489227,0.3078606135211183,-0.13588717362302266,0.32720869354254334,54
sub-S201210,cognitive_control,-0.057456676536471456,0.3666133959834811,-0.082589195491644,0.19397889643082847,249
sub-S201210,gambling,0.03941489051830416,0.2892087375168379,0.05807931931938236,0.11818102795398117,725
sub-S201210,rest,-0.18364950316169829,0.10076700980398254,-0.18787262872628727,0.0930420716036306,81
sub-S201222,cognitive_control,0.15951359084406294,0.014793253075096345,0.13233949218853763,0.043581329206216525,233
sub-S201222,gambling,-0.08202501324718048,0.062366398764467805,-0.11094294394640757,0.011593854643038217,517
sub-S201222,rest,-0.10999417588817705,0.2735189848872612,-0.15854397204426324,0.11329669613928595,101
sub-S201223,cognitive_control,-0.050606682882494355,0.42941178328970186,-0.013612025238652781,0.8317803732261719,246
sub-S201223,gambling,-0.049749945712282896,0.13456914568345787,-0.0439581855288128,0.18618598927877925,906
sub-S201223,rest,0.22924901185770752,0.29269720902933355,0.18972332015810275,0.3859122459775909,23
sub-S210118,cognitive_control,-0.018033530280089406,0.784229305611823,-0.012574803717322587,0.8485872578871716,233
sub-S210118,gambling,-0.026229096358343622,0.48872459009578106,-0.0004434848450244984,0.9906616624684204,699
sub-S210118,rest,0.1279089615931721,0.2741224201897972,0.16896159317211948,0.14730546942087258,75
sub-S210120,cognitive_control,-0.06769423952283786,0.26237161541146603,-0.16740628701074473,0.005299476302589854,276
sub-S210120,gambling,0.11498262931064612,0.0004519046646469595,0.10376306989515165,0.0015587329328624218,927
sub-S210120,rest,-0.05196717862402692,0.6113188845879889,-0.016595579187626316,0.8711553715353094,98
sub-S210127,cognitive_control,0.10090253651342536,0.12135332511735818,0.07327024351899096,0.26121326267811806,237
sub-S210127,gambling,-0.00027419960539100266,0.9946299019340125,-0.015959338257727034,0.6952348530755799,605
sub-S210127,rest,0.13056277056277057,0.19770903147693664,0.057711811997526286,0.5704385569231709,99
sub-S210128,cognitive_control,0.03541624562767198,0.5780594783026465,0.018198212203653325,0.7750759721340758,249
sub-S210128,gambling,0.009555384975174327,0.7781207808927293,0.011026505027699285,0.7450663284416659,872
sub-S210128,rest,-0.025974025974025972,0.786697747350973,-0.06554054054054052,0.4943344375652269,111
sub-S210202,cognitive_control,-0.06211093990755009,0.41283529333908464,-0.06633281972265023,0.38173846408778334,176
sub-S210202,gambling,0.06423338910508276,0.11754949237006192,0.030340230458667097,0.4600943216270724,595
sub-S210202,rest,0.22934362934362934,0.17845961415873904,0.20360360360360363,0.2336403496028941,36
sub-S210203,cognitive_control,-0.004293644499830066,0.9524963005258658,0.005588373335059638,0.9381969390153917,195
sub-S210203,gambling,0.10904101697939836,0.0539591799244179,0.015357691290211996,0.7866724097961243,313
sub-S210204,cognitive_control,-0.030553211772687865,0.6433879263041414,-0.006167726013811554,0.9255560248945791,232
sub-S210204,gambling,0.07434727303419807,0.04582317021780212,0.07519780608640317,0.043390756329198074,722
sub-S210204,rest,0.09507883420926902,0.36999150606238174,0.1926580665711101,0.06730743856709316,91
sub-S210208,cognitive_control,-0.08807918851193282,0.17841690175950586,-0.09372613202400436,0.15206146369046203,235
sub-S210208,gambling,-0.009767308158437182,0.7948721398332449,-0.0314836108100745,0.40190263182486274,711
sub-S210208,rest,0.17641501180999036,0.14404211105988557,0.17952935001312217,0.13698400973317618,70
sub-S210209,cognitive_control,-0.027169512677685453,0.6792664475335373,-0.06723703958659673,0.30574999317764157,234
sub-S210209,gambling,-0.002830239465488598,0.933298245999689,0.04153155682579808,0.21918459990760575,877
